! This data is for documentation purposes only. It corresponds to a real source 
! at gamma energies from 0.1 to 200GeV from Fermi, with some artificial errors 
! added in all columns. For simplicity upper limits and flux have been combined.
! Use of this data outside testing and documentation for MUTIS is not allowed.
! jyear, Flux [ph/cm2/s], CFluxErr [ph/cm2/s]
jyear,CFlux,CFluxErr
2010.6365503080083,2.926909e-08,9.1684e-09
2010.6557152635182,2.613963e-08,2.5981e-10
2010.674880219028,4.994796e-08,1.5284e-08
2010.694045174538,4.719011e-08,1.6068e-08
2010.7132101300479,6.139608e-08,1.7019e-08
2010.7323750855578,2.797792e-08,9.926e-09
2010.7515400410678,5.94289e-08,1.9954e-08
2010.7707049965777,4.738885e-08,2.2138e-08
2010.7898699520877,8.747136e-08,2.6174e-08
2010.8090349075976,8.386796e-08,2.2175e-08
2010.8281998631076,4.554878e-08,1.7012e-08
2010.8473648186173,2.719053e-08,9.9646e-09
2010.8665297741272,5.760901e-08,1.6266e-08
2010.8856947296372,3.031349e-08,1.3122e-08
2010.9048596851471,1.86367e-08,6.9372e-11
2010.924024640657,2.822004e-08,1.0519e-08
2010.943189596167,2.106187e-08,2.9852e-11
2010.962354551677,2.979443e-08,9.654e-09
2010.981519507187,3.617791e-08,1.1203e-08
2011.0006844626969,1.501005e-08,2.9704e-14
2011.0198494182066,3.83649e-08,1.976e-08
2011.0390143737166,1.437491e-08,1.6351e-12
2011.0581793292265,3.256534e-08,1.3612e-08
2011.0773442847365,5.629261e-08,1.6892e-08
2011.0965092402464,5.621926e-08,1.6465e-08
2011.1156741957564,1.656967e-08,4.7707e-11
2011.1348391512663,3.380883e-08,1.0652e-08
2011.1540041067763,1.361031e-08,5.9346e-11
2011.1731690622862,3.675676e-08,1.3863e-08
2011.192334017796,1.206118e-08,2.7404e-11
2011.2114989733059,4.750422e-08,1.5425e-08
2011.2306639288158,2.481128e-08,5.1171e-11
2011.2498288843258,1.946737e-08,1.7312e-10
2011.2689938398357,4.137624e-08,1.441e-08
2011.2881587953457,2.5382e-08,9.7022e-09
2011.3073237508556,3.297584e-08,1.2365e-08
2011.3264887063656,3.890047e-08,4.653e-11
2011.3456536618755,5.662353e-08,1.7379e-08
2011.3648186173853,4.60185e-08,1.4785e-08
2011.3839835728952,1.667763e-08,5.3848e-11
2011.4031485284052,3.386915e-08,9.9622e-11
2011.422313483915,4.712961e-08,2.1336e-08
2011.441478439425,4.07437e-08,1.2307e-08
2011.460643394935,5.250432e-08,1.7948e-08
2011.479808350445,1.799773e-08,1.4414e-11
2011.498973305955,5.338685e-08,1.4791e-08
2011.5181382614649,3.691148e-08,1.8566e-08
2011.5373032169746,6.333289e-08,1.7155e-08
2011.5564681724845,5.731942e-08,1.7707e-08
2011.5756331279945,4.834281e-08,1.4164e-08
2011.5947980835044,4.388997e-08,1.2952e-08
2011.6139630390144,2.218042e-08,2.2198e-12
2011.6331279945243,2.364682e-08,7.6072e-11
2011.6522929500343,4.266737e-08,1.3853e-08
2011.6714579055442,1.659039e-08,5.5085e-12
2011.6906228610542,1.712427e-08,6.7194e-11
2011.709787816564,5.771326e-08,1.9319e-08
2011.7289527720739,6.187351e-08,2.0032e-08
2011.7481177275838,5.79501e-08,1.679e-08
2011.7672826830938,2.212981e-08,5.9349e-11
2011.7864476386037,2.406798e-08,3.5631e-11
2011.8056125941137,2.458458e-08,1.4507e-10
2011.8247775496236,3.728138e-08,1.5899e-08
2011.8439425051336,6.289833e-08,1.8295e-08
2011.8631074606435,4.677626e-08,1.7242e-08
2011.8822724161532,1.686551e-08,4.4088e-11
2011.9014373716632,3.273552e-08,1.2908e-08
2011.9206023271731,2.958341e-08,1.6273e-08
2011.939767282683,4.982283e-08,1.9399e-08
2011.958932238193,5.738234e-08,1.5705e-08
2011.978097193703,4.415118e-08,1.2905e-08
2011.997262149213,2.927573e-08,9.3271e-09
2012.0164271047229,6.562431e-08,2.6229e-08
2012.0355920602328,3.037612e-08,5.3634e-11
2012.0547570157426,2.748987e-08,5.9628e-11
2012.0739219712525,1.359189e-08,1.8315e-12
2012.0930869267625,1.876601e-08,5.847e-12
2012.1122518822724,2.675604e-08,6.0816e-11
2012.1314168377824,3.803707e-08,1.2618e-08
2012.1505817932923,3.266024e-08,1.4286e-08
2012.1697467488023,5.883267e-08,1.6576e-08
2012.1889117043122,5.372091e-08,1.4901e-08
2012.208076659822,2.390595e-08,7.7188e-11
2012.2272416153319,1.608852e-08,8.2981e-12
2012.2464065708418,4.549966e-08,1.96e-08
2012.2655715263518,5.708383e-08,2.3987e-08
2012.2847364818617,9.205122e-08,2.3779e-08
2012.3039014373717,8.303604e-08,3.2965e-08
2012.3230663928816,8.910584e-08,3.0747e-08
2012.3422313483916,9.609786e-08,3.6458e-08
2012.3613963039015,1.794814e-08,3.7752e-11
2012.3805612594113,7.395503e-08,2.5659e-08
2012.3997262149212,1.389627e-07,3.1122e-08
2012.4188911704312,7.775256e-08,2.2467e-08
2012.438056125941,6.311031e-08,1.6629e-08
2012.457221081451,5.439041e-08,2.4928e-08
2012.476386036961,5.263834e-08,1.5644e-08
2012.495550992471,5.910901e-08,1.9542e-08
2012.514715947981,3.660328e-08,1.7482e-08
2012.5338809034909,1.433799e-07,3.3054e-08
2012.5530458590006,9.313611e-08,2.6635e-08
2012.5722108145105,5.749783e-08,1.6264e-08
2012.5913757700205,5.409439e-08,1.8217e-08
2012.6105407255304,6.842779e-08,1.8984e-08
2012.6297056810404,1.386838e-07,3.0747e-08
2012.6488706365503,6.804869e-08,1.8855e-08
2012.6680355920603,1.831416e-08,3.3683e-11
2012.6872005475702,5.538392e-08,1.8776e-08
2012.7063655030802,3.845608e-08,1.5734e-08
2012.72553045859,1.70822e-08,2.2088e-11
2012.7446954140999,3.88077e-08,1.1157e-08
2012.7638603696098,7.345518e-08,1.9638e-08
2012.7830253251198,2.820644e-08,1.7169e-08
2012.8021902806297,7.188736e-08,2.3543e-08
2012.8213552361397,2.50778e-08,1.1581e-10
2012.8405201916496,7.145012e-08,2.621e-08
2012.8596851471596,5.38894e-08,2.1568e-08
2012.8788501026695,4.90391e-08,1.4585e-08
2012.8980150581792,2.912789e-08,1.1639e-08
2012.9171800136892,5.27684e-08,1.5017e-08
2012.9363449691991,7.1653e-08,2.1274e-08
